Title | Author | Genre | ISBN | Total Copies
Introduction to Modern History | Barbara McClintock | History & Sociology | 978-9-25998-090-4 | 5
A First Course in Human-Computer Interaction (2nd Edition) | Emily Watson | Computer Science | 978-5-35513-948-1 | 5
Physical Chemistry Essentials and Applications | Robert Chen | Chemistry | 978-2-05550-138-8 | 10
A First Course in Complex Variables (Global Edition) | Dorothy Hodgkin | Mathematics | 978-8-16967-133-8 | 7
Handbook of Marine Biology (5th Edition) | Isaac Newton | Biology | 978-1-75146-098-9 | 10
Epistemology for Scientists and Engineers (2nd Edition) | Isaac Newton | Literature & Philosophy | 978-4-60435-547-4 | 5
Introduction to Mobile Programming | William Taylor | Computer Science | 978-6-69130-163-2 | 7
Genetics for Scientists and Engineers (2nd Edition) | Richard Feynman | Biology | 978-3-93997-481-3 | 8
Foundations of Marine Biology | Ada Yonath | Biology | 978-2-61691-729-3 | 10
Modern Strategic Management: A Systems Approach (2nd Edition) | Maria Sanchez | Business & Economics | 978-7-58441-436-5 | 5
Principles of Fluid Dynamics (2nd Edition) | David Miller | Physics | 978-1-11442-379-7 | 9
Introduction to Econometrics | Ada Yonath | Business & Economics | 978-6-36623-643-1 | 10
The Art of Philosophy of History (Global Edition) | Grace Hopper | History & Sociology | 978-5-68321-902-9 | 6
Modern Game Development: A Systems Approach (Global Edition) | Nancy Davis | Computer Science | 978-4-09801-169-0 | 4
Virology for Scientists and Engineers (4th Edition) | Maria Sanchez | Biology | 978-0-74279-757-1 | 9
Advanced Corporate Finance (3rd Edition) | Linus Torvalds | Business & Economics | 978-7-16610-491-6 | 4
The Art of Poetics (Global Edition) | Isaac Newton | Literature & Philosophy | 978-8-00596-623-3 | 6
The Art of Clinical Psychology | Donald Knuth | Psychology | 978-4-38014-432-3 | 3
Handbook of Immunology | Gerty Cori | Biology | 978-1-30821-175-1 | 9
Foundations of Nanochemistry | Richard Foster | Chemistry | 978-1-32500-743-7 | 10
